exp_list,condition,nam,cue,item,stimulus,group,id,response,response_type,rt
3,inf_let,inf,let,37,шашлык,Y,Y3,шашлык,1,1021
3,inf_let,inf,let,33,копилка,Y,Y3,копилка,1,1286
3,inf_let,inf,let,38,радуга,Y,Y3,радуга,1,1069
3,inf_let,inf,let,12,шланг,Y,Y3,шланг,1,886
3,inf_let,inf,let,48,сачок,Y,Y3,сетка,0,
3,inf_let,inf,let,52,перо,Y,Y3,писало,0,
3,inf_let,inf,let,60,фотоаппарат,Y,Y3,фотоаппарат,1,889
3,inf_let,inf,let,65,корсет,Y,Y3,корсет,1,811
3,inf_let,inf,let,67,пружина,Y,Y3,пружина,1,1367
3,inf_let,inf,let,77,дуршлаг,Y,Y3,дуршлаг,1,1310
3,inf_col,inf,col,18,слон,Y,Y3,слон,1,1279
3,inf_col,inf,col,7,пепельница,Y,Y3,пепельница,1,1906
3,inf_col,inf,col,17,верблюд,Y,Y3,верблюд,1,1323
3,inf_col,inf,col,20,календарь,Y,Y3,календарь,1,1075
3,inf_col,inf,col,29,багажник,Y,Y3,багажник,1,1366
3,inf_col,inf,col,41,жалюзи,Y,Y3,жалюзи,1,2350
3,inf_col,inf,col,39,ракетка,Y,Y3,ракетка,1,1227
3,inf_col,inf,col,46,шахматы,Y,Y3,шахматы,1,1521
3,inf_col,inf,col,50,степлер,Y,Y3,степлер,1,1216
3,inf_col,inf,col,59,автобус,Y,Y3,автобус,1,1775
3,inf_col,inf,col,64,страус,Y,Y3,страус,1,653
3,inf_col,inf,col,69,мочалка,Y,Y3,"я забыла, что только что прочитала",3,
3,inf_col,inf,col,75,самокат,Y,Y3,самокат,1,922
4,ref_non,ref,non,13,перекресток,Y,Y4,перекресток,1,1734
4,ref_non,ref,non,9,шлагбаум,Y,Y4,шлагбаум,1,9617
4,ref_non,ref,non,15,венок,Y,Y4,венок,1,1023
4,ref_non,ref,non,23,маяк,Y,Y4,маяк,1,1870
4,ref_non,ref,non,28,термос,Y,Y4,термос,1,1200
4,ref_non,ref,non,32,якорь,Y,Y4,якорь,1,1145
4,ref_non,ref,non,34,шишка,Y,Y4,шишка,1,2904
4,ref_non,ref,non,47,фартук,Y,Y4,фартук,1,1286
